subject activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyAccMag-mean() tGravityAccMag-mean() tBodyAccJerkMag-mean() tBodyGyroMag-mean() tBodyGyroJerkMag-mean() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-meanFreq()-X fBodyAcc-meanFreq()-Y fBodyAcc-meanFreq()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-meanFreq()-X fBodyAccJerk-meanFreq()-Y fBodyAccJerk-meanFreq()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-meanFreq()-X fBodyGyro-meanFreq()-Y fBodyGyro-meanFreq()-Z fBodyAccMag-mean() fBodyAccMag-meanFreq() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-meanFreq() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-meanFreq() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-meanFreq() tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-std() tGravityAccMag-std() tBodyAccJerkMag-std() tBodyGyroMag-std() tBodyGyroJerkMag-std() fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-std() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-std() fBodyBodyGyroJerkMag-std()
 1 WALKING 2.656969e-01 -1.829817e-02 -1.078457e-01 7.448674e-01 -8.255626e-02  7.233987e-02 7.709305e-02  1.659084e-02 -9.107587e-03 -2.087641e-02 -8.807227e-02 8.626417e-02 -9.711202e-02 -4.171648e-02 -4.713940e-02 -4.536329e-01 -4.536329e-01 -5.454316e-01 -4.754048e-01 -6.395174e-01 -5.318952e-01 -4.064354e-01 -5.964112e-01 -1.805587e-01  5.762916e-02  5.836928e-02 -5.473489e-01 -5.073436e-01 -6.953051e-01 -4.880060e-02 -2.152792e-01 -9.644964e-02 -6.232192e-01 -5.053094e-01 -5.535291e-01 -3.203241e-02 -9.015172e-02 -1.800639e-02 -4.784485e-01  1.420622e-01 -4.990758e-01  2.000552e-01 -5.350028e-01  6.493094e-02 -6.459707e-01  1.980316e-01 -5.457953e-01 -3.677162e-01 -5.026457e-01 -9.598594e-01 -9.511506e-01 -9.258176e-01 -5.247219e-01 -4.704124e-01 -7.173223e-01 -6.865557e-01 -4.509798e-01 -5.974961e-01 -6.378127e-01 -6.344722e-01 -6.645920e-01 -4.970964e-01 -4.970964e-01 -5.159222e-01 -4.998396e-01 -6.520508e-01 -5.530606e-01 -3.901509e-01 -4.985831e-01 -5.439798e-01 -4.662517e-01 -7.378619e-01 -7.082634e-01 -4.298258e-01 -6.504762e-01 -5.897102e-01 -5.418231e-01 -5.665767e-01 -6.858113e-01
 2 WALKING 2.731131e-01 -1.913232e-02 -1.156500e-01 6.607829e-01 -1.472199e-01  1.348653e-01 7.853532e-02  7.087712e-03  7.557607e-04 -5.170307e-02 -5.684202e-02 8.725994e-02 -8.755875e-02 -4.339868e-02 -5.575418e-02 -5.352818e-01 -5.352818e-01 -5.877774e-01 -6.147711e-01 -7.465595e-01 -5.737709e-01 -4.325666e-01 -6.300812e-01 -1.067634e-01  1.057342e-01  8.721059e-02 -5.616820e-01 -5.089038e-01 -7.157453e-01  8.680005e-02 -1.397766e-01 -9.426519e-02 -6.387177e-01 -7.220690e-01 -6.015949e-01 -5.765006e-03 -7.021550e-02  5.136273e-02 -5.145699e-01  1.921997e-01 -5.097464e-01  1.930668e-01 -6.997429e-01  4.713248e-02 -7.516151e-01  1.246121e-01 -6.055865e-01 -4.289630e-01 -5.893601e-01 -9.630155e-01 -9.600336e-01 -9.453654e-01 -5.578096e-01 -4.918759e-01 -7.418854e-01 -7.106489e-01 -7.229437e-01 -6.348889e-01 -6.716791e-01 -7.835955e-01 -6.746119e-01 -5.528125e-01 -5.528125e-01 -5.121153e-01 -6.805849e-01 -7.400887e-01 -6.197881e-01 -4.647239e-01 -6.006786e-01 -5.951056e-01 -5.091475e-01 -7.670870e-01 -7.345885e-01 -7.271677e-01 -6.831145e-01 -6.466623e-01 -5.188008e-01 -7.253103e-01 -7.441950e-01
 3 WALKING 2.734287e-01 -1.785607e-02 -1.064926e-01 7.078144e-01 -2.605905e-02  4.809379e-02 7.017313e-02  1.446643e-02 -5.268189e-04 -2.484907e-02 -7.435653e-02 8.668755e-02 -9.915546e-02 -4.019239e-02 -5.211783e-02 -5.631408e-01 -5.631408e-01 -6.501824e-01 -6.431501e-01 -7.840567e-01 -6.257333e-01 -5.017799e-01 -6.996568e-01 -1.928173e-01  3.892825e-02  4.472614e-03 -6.458935e-01 -5.829499e-01 -7.801016e-01 -4.769412e-02 -2.368742e-01 -1.936575e-01 -6.420977e-01 -7.751450e-01 -6.707347e-01 -1.025681e-01 -1.676750e-01 -3.218627e-02 -5.790765e-01  7.706656e-02 -6.047521e-01  1.123198e-01 -7.168221e-01 -8.460752e-02 -8.100855e-01  5.996287e-02 -6.234136e-01 -4.800159e-01 -6.536256e-01 -9.664576e-01 -9.445645e-01 -9.269663e-01 -6.354847e-01 -5.572119e-01 -7.960662e-01 -6.992622e-01 -7.630222e-01 -7.094834e-01 -6.893284e-01 -8.426599e-01 -7.430285e-01 -5.912248e-01 -5.912248e-01 -6.076582e-01 -6.740103e-01 -8.036614e-01 -6.238050e-01 -5.027536e-01 -6.574438e-01 -6.578441e-01 -5.598512e-01 -8.108060e-01 -7.192766e-01 -7.585053e-01 -7.510089e-01 -6.630798e-01 -6.156437e-01 -7.038394e-01 -8.100327e-01
 4 WALKING 2.770345e-01 -1.334968e-02 -1.059161e-01 7.314565e-01  7.234799e-02  1.939934e-01 7.801622e-02 -1.031130e-03 -7.370701e-03 -2.987268e-02 -7.500866e-02 9.566074e-02 -1.050987e-01 -4.106244e-02 -6.086653e-02 -6.375330e-01 -6.375330e-01 -7.223406e-01 -7.082211e-01 -8.495814e-01 -6.989943e-01 -6.109666e-01 -7.849641e-01 -1.557479e-01  5.202712e-02 -1.384454e-02 -7.179737e-01 -6.846484e-01 -8.453839e-01  3.883410e-02 -1.743868e-01 -7.647589e-02 -7.080970e-01 -8.518592e-01 -7.239137e-01 -1.453492e-01 -3.575927e-01 -2.359260e-02 -6.682737e-01  6.916028e-02 -7.020459e-01  1.650430e-01 -7.851729e-01 -1.578913e-01 -8.676019e-01  1.449103e-01 -6.838645e-01 -5.896093e-01 -7.419590e-01 -9.675767e-01 -9.417065e-01 -9.367242e-01 -7.010667e-01 -6.709767e-01 -8.595025e-01 -7.509160e-01 -8.288883e-01 -7.459042e-01 -7.784796e-01 -9.114363e-01 -7.905783e-01 -6.701221e-01 -6.701221e-01 -7.102461e-01 -7.491055e-01 -8.705795e-01 -6.793165e-01 -6.058791e-01 -7.399202e-01 -7.109530e-01 -6.791167e-01 -8.723486e-01 -7.659318e-01 -8.181053e-01 -7.788636e-01 -7.249798e-01 -7.232611e-01 -7.693308e-01 -8.841878e-01
 4 WALKING_UPSTAIRS 2.696859e-01 -1.710851e-02 -1.100534e-01 6.673775e-01  1.760642e-01  1.170306e-01 8.020059e-02  1.068122e-02 -7.378563e-03 -2.747357e-02 -8.458137e-02 9.580699e-02 -1.122135e-01 -3.843447e-02 -5.298637e-02 -4.417897e-01 -4.417897e-01 -5.516651e-01 -5.743852e-01 -7.712592e-01 -5.181034e-01 -3.915613e-01 -7.083463e-01 -2.298967e-01  1.364152e-01 -2.045552e-02 -5.480034e-01 -4.708611e-01 -7.932489e-01 -6.265253e-02 -1.903587e-01 -1.643330e-01 -5.374453e-01 -7.994596e-01 -6.347291e-01 -7.619938e-02 -4.033124e-01  9.955170e-02 -4.977235e-01  1.392698e-01 -5.293018e-01  1.532827e-01 -6.833150e-01 -8.420863e-02 -7.934581e-01  1.814179e-01 -4.811578e-01 -3.842553e-01 -6.582857e-01 -9.548459e-01 -9.409598e-01 -9.487836e-01 -5.226868e-01 -4.469801e-01 -8.178820e-01 -6.232957e-01 -7.498895e-01 -6.955707e-01 -6.375281e-01 -8.884120e-01 -6.817954e-01 -5.062974e-01 -5.062974e-01 -5.478902e-01 -6.399158e-01 -8.025599e-01 -4.685884e-01 -4.223346e-01 -6.596235e-01 -5.400025e-01 -4.593776e-01 -8.419271e-01 -6.520627e-01 -7.273362e-01 -7.485191e-01 -5.908825e-01 -5.769917e-01 -6.746316e-01 -8.298315e-01
 5 WALKING 2.791780e-01 -1.548335e-02 -1.056617e-01 6.981537e-01  1.123131e-01  9.216072e-02 8.410199e-02  1.765683e-03 -2.953711e-03 -2.945169e-02 -7.743164e-02 8.662671e-02 -1.035229e-01 -4.906245e-02 -5.062582e-02 -4.608664e-01 -4.608664e-01 -5.893139e-01 -6.027703e-01 -7.073835e-01 -5.512377e-01 -4.402324e-01 -6.961718e-01 -2.263707e-01  7.486369e-02  6.266318e-03 -6.047699e-01 -5.509920e-01 -7.687624e-01 -1.029208e-01 -2.742909e-01 -1.637062e-01 -6.322393e-01 -7.170622e-01 -5.373291e-01 -3.816470e-02 -7.206660e-02  7.440290e-02 -5.285030e-01  7.814556e-02 -5.731762e-01  1.316193e-01 -6.773558e-01  6.221911e-02 -7.488293e-01  3.075646e-02 -5.076910e-01 -4.027249e-01 -6.464436e-01 -9.646291e-01 -9.399738e-01 -9.420787e-01 -5.758905e-01 -5.065444e-01 -7.845620e-01 -7.099557e-01 -7.056383e-01 -6.065898e-01 -6.625813e-01 -7.741143e-01 -5.646808e-01 -5.216235e-01 -5.216235e-01 -5.890313e-01 -6.640784e-01 -7.341875e-01 -4.928299e-01 -4.221622e-01 -6.493512e-01 -5.840136e-01 -4.915004e-01 -7.988356e-01 -7.357386e-01 -7.022904e-01 -6.693537e-01 -5.942595e-01 -6.134851e-01 -7.157311e-01 -7.356106e-01
 6 WALKING 2.694342e-01 -1.639111e-02 -1.179007e-01 6.705062e-01  6.123214e-02  5.847028e-02 8.664351e-02  1.830608e-03 -8.109310e-04 -3.428402e-02 -7.725701e-02 1.043088e-01 -9.196803e-02 -4.376568e-02 -5.715134e-02 -6.191480e-01 -6.191480e-01 -7.013277e-01 -6.904881e-01 -7.800470e-01 -6.466203e-01 -5.783551e-01 -8.147384e-01 -1.391663e-01  5.038801e-02  4.845825e-02 -6.777798e-01 -6.605945e-01 -8.596037e-01 -2.951186e-02 -2.696524e-01 -1.139082e-01 -7.100608e-01 -7.616251e-01 -6.681139e-01 -6.387996e-03 -9.082974e-02  3.891966e-02 -6.314955e-01  8.678567e-02 -6.528607e-01  1.233401e-01 -7.386095e-01  3.554720e-02 -8.024720e-01  6.364488e-02 -6.476692e-01 -5.531424e-01 -7.898451e-01 -9.565190e-01 -9.526132e-01 -9.406466e-01 -6.671987e-01 -6.273571e-01 -8.717214e-01 -7.670687e-01 -7.614381e-01 -7.234902e-01 -7.390230e-01 -8.200441e-01 -7.063851e-01 -6.267871e-01 -6.267871e-01 -6.594524e-01 -7.226364e-01 -7.982027e-01 -6.497722e-01 -5.686092e-01 -7.931536e-01 -6.866778e-01 -6.163297e-01 -8.825119e-01 -7.861803e-01 -7.641081e-01 -7.704675e-01 -6.828161e-01 -6.699809e-01 -7.609072e-01 -8.070057e-01
 6 WALKING_UPSTAIRS 2.801791e-01 -2.069496e-02 -1.109400e-01 7.369519e-01 -1.031908e-01  1.848330e-02 6.743510e-02 -3.104012e-03 -6.098688e-03 -6.743094e-02 -5.299484e-02 7.876257e-02 -5.891286e-02 -5.007004e-02 -4.331033e-02 -5.540827e-02 -5.540827e-02 -1.538889e-01 -1.756250e-01 -2.026760e-01 -1.337580e-01  1.020039e-01 -3.363222e-01 -3.304079e-01  8.187825e-02  2.843127e-01 -2.089562e-01 -8.715004e-02 -3.529816e-01 -2.708962e-01 -4.002742e-01 -6.561165e-02 -7.883276e-02 -2.487957e-01 -8.198305e-02  1.225045e-01  8.459621e-02  2.657811e-01 -5.628004e-02  1.436096e-01 -7.597344e-02 -2.354375e-02 -1.562407e-01  2.862215e-01 -2.525826e-01  1.300060e-01 -1.270006e-01  1.214653e-01 -3.613816e-01 -9.652090e-01 -9.464846e-01 -9.306542e-01 -1.715540e-01  4.090882e-03 -3.869009e-01 -3.534495e-01 -2.677813e-01 -2.722150e-01 -3.420012e-02 -3.000145e-01 -5.099239e-02 -1.046089e-01 -1.046089e-01 -8.790044e-02 -2.011808e-01 -2.368355e-01 -1.272456e-01  5.923010e-02 -4.324094e-01 -2.070960e-01  3.546782e-02 -4.196215e-01 -4.454128e-01 -2.862052e-01 -4.146212e-01 -2.741713e-01 -1.102885e-01 -3.828170e-01 -2.708293e-01
 7 WALKING_UPSTAIRS 2.702117e-01 -1.879049e-02 -1.124924e-01 6.812891e-01 -4.202215e-02  3.421607e-02 8.318296e-02  7.609098e-03 -7.917257e-03 -5.187169e-02 -6.460771e-02 9.776717e-02 -9.420374e-02 -4.144014e-02 -6.103079e-02 -5.113120e-01 -5.113120e-01 -6.228158e-01 -5.818999e-01 -7.131913e-01 -5.930113e-01 -5.635478e-01 -5.310059e-01 -3.117905e-01 -3.007133e-02  1.466209e-02 -6.375219e-01 -6.416873e-01 -6.425157e-01 -1.197843e-01 -2.395017e-01 -2.202609e-01 -6.437676e-01 -6.304193e-01 -6.550834e-01 -1.344918e-01 -1.038845e-01 -8.634124e-02 -5.183239e-01 -1.068737e-02 -5.533600e-01  1.086957e-01 -6.288773e-01 -3.522763e-02 -6.688792e-01  6.319204e-02 -5.775183e-01 -5.464034e-01 -4.564736e-01 -9.565382e-01 -9.553126e-01 -9.233047e-01 -6.151314e-01 -6.229974e-01 -6.643369e-01 -6.871555e-01 -6.524087e-01 -6.633408e-01 -7.017312e-01 -6.749201e-01 -7.508087e-01 -5.106699e-01 -5.106699e-01 -5.505602e-01 -5.986708e-01 -6.580178e-01 -5.723475e-01 -5.670470e-01 -4.607921e-01 -6.267857e-01 -6.285316e-01 -6.848564e-01 -7.038836e-01 -6.711619e-01 -6.989495e-01 -5.838198e-01 -5.506833e-01 -6.509236e-01 -6.689634e-01
 8 WALKING_UPSTAIRS 2.707591e-01 -1.818950e-02 -1.068096e-01 6.474982e-01  3.032111e-02  8.365424e-02 8.421575e-02  8.603016e-04 -1.967199e-02  3.590539e-03 -9.107751e-02 6.408676e-02 -1.049699e-01 -4.009222e-02 -5.828871e-02 -4.685226e-01 -4.685226e-01 -5.342486e-01 -4.762149e-01 -6.736255e-01 -5.818314e-01 -3.749442e-01 -5.509794e-01 -2.160223e-01  2.632975e-02  9.139520e-02 -5.916350e-01 -4.959062e-01 -6.442858e-01  2.123368e-02 -1.690616e-01 -8.260861e-02 -6.013824e-01 -5.759385e-01 -5.255629e-01 -1.171028e-01 -1.538797e-01 -4.302588e-02 -5.121068e-01  1.465414e-01 -5.292449e-01  2.715289e-01 -6.099843e-01 -2.322415e-02 -7.021562e-01  2.237487e-01 -5.829589e-01 -3.493837e-01 -4.994727e-01 -9.542567e-01 -9.484465e-01 -9.231807e-01 -5.759931e-01 -4.587249e-01 -6.683568e-01 -6.562192e-01 -5.709412e-01 -5.113920e-01 -6.749845e-01 -6.830869e-01 -6.959703e-01 -5.540390e-01 -5.540390e-01 -5.644720e-01 -5.814229e-01 -7.158384e-01 -5.853435e-01 -3.786565e-01 -5.132063e-01 -5.985462e-01 -4.563684e-01 -6.914809e-01 -6.752754e-01 -5.730873e-01 -5.539686e-01 -6.516381e-01 -6.180274e-01 -6.366739e-01 -7.557173e-01
